onset	duration	trial_type	score
9.468	3.683	house	1
17.166	2.304	house	19
20.666	2.92	house	100
27.065	2.11	house	53
31.248	2.371	house	1
36.297	3.193	house	1
41.096	3.675	house	25
48.195	3.105	house	1
55.661	5.35	house	34
62.943	3.022	house	100
69.109	2.116	house	100
75.725	1.909	house	100
79.358	4.016	house	100
86.39	3.602	house	100
93.739	4.128	house	100
100.422	3.208	house	1
107.837	2.724	house	100
114.503	2.796	house	71
120.385	4.69	house	100
129.168	2.76	house	100
134.4	3.25	house	1
141.199	4.077	house	100
148.615	4.266	house	100
154.897	3.558	house	1
161.73	2.254	house	100
165.462	3.966	house	1
172.178	2.744	house	1
179.094	1.533	house	1
184.243	2.561	house	100
188.143	2.584	house	100
191.875	3.083	house	100
198.641	2.73	house	74
202.041	2.748	house	72
209.223	2.501	house	100
214.139	2.846	house	1
220.805	2.565	house	1
225.987	3.229	house	54
230.287	2.691	house	100
234.386	2.651	house	100
240.252	2.886	house	100
243.935	5.565	house	51
250.034	3.337	house	100
255.033	2.108	house	82
259.433	3.366	house	20
264.949	3.704	house	100
269.931	1.891	house	1
274.631	1.943	house	97
280.463	3.173	house	1
286.579	3.115	house	1
292.045	1.913	house	100
295.828	3.931	house	100
301.977	4.302	house	31
310.559	2.752	house	18
314.308	2.953	house	1
317.991	2.857	house	100
322.374	3.099	house	100
326.407	3.018	house	100
331.223	2.272	house	100
334.089	2.951	house	100
337.905	2.07	house	77
